Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis
2019-02-13,3:46,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,HAAS PAVILION,37.869557,-122.262235,NA
2019-02-13,4:50,DISORDERLY CONDUCT,LODGING,1936 UNIVERSITY AV,37.871233,-122.272074,NA
2019-02-13,8:25,WELFARE CHECK,CHECK WELFARE- 911 CALL,LBNL 33,37.876117,-122.246744,NA
2019-02-13,9:47,LARCENY/THEFT,PETTY THEFT -ATTEMPT,MLK,37.869249,-122.25967,NA
2019-02-13,10:42,ALL OTHER OFFENSES,RULE VIOLATION,AMAZON STORE,37.869246,-122.259407,"(FW-44-O) EXCLUDED FROM CAMPUS FOR 7 DAYS, AMAZON STORE"
2019-02-13,11:18,LARCENY/THEFT,PETTY THEFT -REPORT,MLK,37.869249,-122.25967,"(FW-25-S) REPORTS THE THEFT OF HER BLACK APPLE IPHONE 5S, AND FRAUDULENT USE OF CREDIT CARD, MLK. TOTAL LOSS OF $50.00."
2019-02-13,11:34,TRAFFIC STOP,TRAFFIC STOP,GAYLEY S/O HAAS BUSINESS SCHOOL,37.871381,-122.252784,NA
2019-02-13,11:38,TRAFFIC STOP,TRAFFIC STOP,BOALT HALL,37.869768,-122.253893,NA
2019-02-13,12:16,DISORDERLY CONDUCT,LODGING,2483 HEARST ST,37.87528,-122.260555,NA
2019-02-13,12:32,ALL OTHER OFFENSES,RULE VIOLATION,STRUCTURE C,37.866273,-122.262164,NA
2019-02-13,13:10,TRAFFIC STOP,TRAFFIC STOP,2700 HASTE ST,37.866556,-122.254067,NA
2019-02-13,13:23,FORGERY AND COUNTERFEITING,FORGERY,WARREN HALL,37.874255,-122.266736,"(FBA-E) REPORTS FRADULENT USE OF UC CHECKS, WARREN HALL."
2019-02-13,13:27,LARCENY/THEFT,PETTY THEFT -REPORT,MLK,37.869249,-122.25967,"WHITEMORE, HENRY (MB-52-O) ARRESTED FOR THEFT, VIOLATION OF PROBATION AND CAMPUS ORDER, MLK. TO BPD JAIL."
2019-02-13,13:38,TRAFFIC STOP,TRAFFIC STOP,DURANT/FULTON,37.866942,-122.265828,NA
2019-02-13,14:07,TRAFFIC STOP,TRAFFIC STOP,PARKER/FULTON,37.86246,-122.26488,NA
2019-02-13,15:43,ALL OTHER OFFENSES,EXCLUSION FROM CAMPUS,CORY HALL,37.875046,-122.257523,"(MW-27-O) EXCLUDED FROM CAMPUS FOR 7 DAYS, CORY HALL."
2019-02-13,16:23,LARCENY/THEFT,PETTY THEFT -REPORT,WHEELER HALL,37.871328,-122.259146,NA
2019-02-13,16:30,TRAFFIC,ACCIDENT / MINOR INJURIES,STADIUM RIM/GAYLEY,37.872586,-122.253731,"(FB-19-S) VICTIM OF MINOR INJURY TRAFFIC ACCIDENT, GAYLEY/RIM WAY. BFD RESPONDED. VICTIM WILL SEEK OWN MEDICAL TREATMENT."
2019-02-13,17:00,VEHICLE CODE VIOLATION,VEHICLE CODE VIOLATION,2121 ALLSTON WAY,37.86986,-122.266809,"GOLD LEXUS ES300 TOWED FOR PARKING IN A PRIVATE PROPERTY POSTED TOW AWAY ZONE, 2121 ALLSTON WAY."
2019-02-13,17:21,ALL OTHER OFFENSES,DISTURBING THE PEACE,GAYLEY RD,37.873525,-122.255081,"(FB-19-S) VICTIM OF MINOR INJURY TRAFFIC ACCIDENT, GAYLEY/RIM WAY. BFD RESPONDED. VICTIM WILL SEEK OWN MEDICAL TREATMENT. WHITE 2005 SUBURU OUTBACK TOWED FOR BEING A ROAD HAZARD, GAYLEY/RIM. TO M&A TOW."
2019-02-13,17:27,WELFARE CHECK,CHECK WELFARE- 911 CALL,MAX MARTINEZ,37.866781,-122.257606,NA
2019-02-13,17:51,WELFARE CHECK,CHECK WELFARE- 911 CALL,UNIT-2,37.86623,-122.25484,NA
2019-02-13,19:43,TRAFFIC STOP,TRAFFIC STOP,ALLSTON/OXFORD,37.869687,-122.265861,NA
2019-02-13,20:19,TRAFFIC STOP,TRAFFIC STOP,2500 DURANT AVE,37.867633,-122.258649,NA
2019-02-13,20:31,PEDESTRIAN STOP,PEDESTRIAN STOP,ANNA HEAD ALUMNAE HALL,37.866336,-122.257558,NA
2019-02-13,20:33,TRAFFIC STOP,TRAFFIC STOP,BERKELEY/OXFORD,37.873367,-122.266196,NA
2019-02-13,20:40,TRAFFIC STOP,TRAFFIC STOP,CHANNING/BOWDITCH,37.867231,-122.256486,NA
2019-02-13,20:45,TRAFFIC STOP,TRAFFIC STOP,PARKER/COLLEGE,37.863938,-122.253722,NA
2019-02-13,20:50,TRAFFIC STOP,TRAFFIC STOP,CHANNING/TELEGRAPH,37.866916,-122.258786,NA
2019-02-13,20:47,LARCENY/THEFT,PETTY THEFT -REPORT,WHEELER HALL,37.871328,-122.259146,"(MA-19-S) REPORTS THE THEFT OF HIS BACKPACK AND CONTENTS, WHEELER HALL. LOSS: $374."
2019-02-13,22:14,TRAFFIC STOP,TRAFFIC STOP,LECONTE/EUCLID,37.876952,-122.260534,NA
2019-02-13,22:26,TRAFFIC STOP,TRAFFIC STOP,CHANNING/TELEGRAPH,37.866916,-122.258786,NA
2019-02-13,22:38,PEDESTRIAN STOP,SUSPECT STOP,SATHER TOWER,37.866916,-122.258786,NA
2019-02-13,23:35,TRAFFIC STOP,TRAFFIC STOP,HEARST/GAYLEY,37.87552,-122.256845,NA
