Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis
2019-03-29,0:00,TRAFFIC STOP,TRAFFIC STOP,HASTE/TELEGRAPH,37.866028,-122.258642,NA
2019-03-29,0:01,PEDESTRIAN STOP,SUSPECT STOP,PEOPLES PARK,37.86582,-122.257058,NA
2019-03-29,0:12,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/TELEGRAPH,37.868706,-122.259184,NA
2019-03-29,0:44,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,BARROWS LANE,37.870137,-122.258597,NA
2019-03-29,0:46,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,LHS TERRACE LOT,37.880194,-122.245769,NA
2019-03-29,1:12,WELFARE CHECK,CHECK WELFARE- 911 CALL,2120 OXFORD ST,37.87099,-122.266126,NA
2019-03-29,1:20,PEDESTRIAN STOP,SUSPECT STOP,UNIVERSITY HALL,37.87216,-122.266441,NA
2019-03-29,8:40,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,UNIVERSITY VILLAGE ALBANY,37.88548,-122.301123,NA
2019-03-29,9:58,WELFARE CHECK,CHECK WELFARE- 911 CALL,EVANS HALL,37.873688,-122.257853,NA
2019-03-29,10:18,WELFARE CHECK,CHECK WELFARE- 911 CALL,BERKELEY WAY WEST,37.873481,-122.267913,NA
2019-03-29,12:52,DISORDERLY CONDUCT,LODGING,SMYTH/FERNWALD,37.867492,-122.247121,NA
2019-03-29,15:03,WELFARE CHECK,CHECK WELFARE- 911 CALL,LBNL-54,37.875891,-122.250753,NA
2019-03-29,15:41,WELFARE CHECK,CHECK WELFARE- 911 CALL,UNIVERSITY HALL,37.87216,-122.266441,NA
2019-03-29,20:03,ALL OTHER OFFENSES,DISTURBING THE PEACE,MEMORIAL STADIUM,37.871133,-122.25069,NA
2019-03-29,21:10,PEDESTRIAN STOP,SUSPECT STOP,UCPD,37.869286,-122.258614,NA
2019-03-29,21:33,TRAFFIC STOP,TRAFFIC STOP,2500 CHANNING WAY,37.866918,-122.258783,NA
2019-03-29,22:43,VEHICLE CODE VIOLATION,VEHICLE CODE VIOLATION,FOOTHILL COMPLEX,37.875337,-122.256034,NA
2019-03-29,23:28,ALL OTHER OFFENSES,DRIVING ON SUSPENDED LICENSE,BANCROFT/TELE,37.868706,-122.259184,"MITCHELL, DERICK (MB-25-O) CITED AND RELEASED FOR DRIVING ON A SUSPENDED LICENSE, BANCROFT WEST OF TELEGRAPH."
