Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis,
2/10/2019,3:36,OUTSIDE ASSIST,OUTSIDE ASSIST-MISCELLANEOUS,GRIZZLY PEAK BLVD,37.866276,-122.222818,N/A,
2/10/2019,6:24,PEDESTRIAN STOP,SUSPECT STOP,UNIVERSITY HALL,37.87216,-122.266441,N/A,
2/10/2019,6:58,TRAFFIC STOP,TRAFFIC STOP,PIEDMONT/BANCROFT,37.86963,-122.25265,N/A,
2/10/2019,7:35,TRAFFIC STOP,TRAFFIC STOP,FULTON N BANCROFT,37.867845,-122.26588,N/A,
2/10/2019,8:43,PEDESTRIAN STOP,SUSPECT STOP,DWINELLE HALL,37.870547,-122.260603,N/A,
2/10/2019,8:57,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,2ND/CEDAR,37.87324,-122.304074,N/A,
2/10/2019,12:07,TRAFFIC STOP,TRAFFIC STOP,CENTER W MILVIA,37.870063,-122.270553,N/A,
2/10/2019,12:58,OUTSIDE ASSIST,OUTSDE ASSIST BPD COVER,TANG CENTER,37.867705,-122.264292,"OCCURED: 02/10/19 1258 OUTSIDE ASSIST TO BERKELEY PD WITH A NOTICE OF REPORT, TANG CENTER.",
2/10/2019,13:11,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,300 GOODING WAY,37.885053,-122.301933,N/A,
2/10/2019,13:13,TRAFFIC STOP,TRAFFIC STOP,DURANT BOWDITCH,37.87158,-122.256707,N/A,
2/10/2019,13:52,TOW,EXPIRED REGISTRATION OVER 6 MO,1925 WALNUT ST,37.873051,-122.266818,"OCCURRED: 02/10/19 1446 HOURS WHITE CHEVY COBALT TOWED FOR HAVING EXPIRED REGISTRATION OVER 6 MONTHS, 1925 WALNUT ST. TO M&A TOW.",
2/10/2019,13:55,ALL OTHER OFFENSES,DISTURBING THE PEACE,MLK,37.869249,-122.25967,N/A,
2/10/2019,14:16,LARCENY/THEFT,BICYCLE THEFT -IN- PROGRESS,WURSTER HALL,37.870815,-122.254698,N/A,
2/10/2019,14:27,STOLEN PROPERTY,POSSESSION OF STOLEN PROPERTY,ELLSWORTH N DURANT,37.867229,-122.263207,"OCCURED: 02/10/2019 1531 COOMBS, JARED (MW-25-O) ARRESTED FOR POSSESSION OF STOLEN PROPERTY, POSSESSION OF BURGLARY TOOLS, GIVING FALSE INFORMATION TO A POLICE OFFICER, AND ISSUED A 7 DAY STAY AWAY ORDER FROM UC PROPERTY, ELLSWORTH N DURANT. TO BPD JAIL. (MO-26-O) AND (FB-19-O) BOTH ISSUED 7 DAY STAY AWAY ORDERS FROM UC PROPERTY, ELLSWORTH N DURANT.",
2/10/2019,20:09,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,REC SPRT FAC GARAGE,37.868572,-122.262722,N/A,
2/10/2019,20:17,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,REC SPRT FAC GARAGE,37.868572,-122.262722,N/A,
2/10/2019,20:40,PEDESTRIAN STOP,SUSPECT STOP,OXFORD TRACT,37.876262,-122.267187,N/A,
2/10/2019,21:08,PEDESTRIAN STOP,SUSPECT STOP,ANNA HEAD,37.866336,-122.257558,N/A,
2/10/2019,21:39,TRAFFIC STOP,TRAFFIC STOP,STANLEY HALL,37.873858,-122.256436,N/A,
2/10/2019,22:10,TRAFFIC STOP,TRAFFIC STOP,HEARST/HIGHLAND,37.875686,-122.255677,N/A,
2/10/2019,22:20,TRAFFIC STOP,TRAFFIC STOP,PIEDMONT N BANCROFT,37.86963,-122.25265,N/A,
2/10/2019,22:22,BURGLARY,BURGLARY -REPORT,SUTARDJA DAI HALL,37.874789,-122.25833,"OCCD 02/08/19 1655 - 02/10/19 2222 FOUND BUILDING BURGLARY VIA OPENED LOADING DOCK GATE AND UNSECURED DOOR, SUTARDJA DAI HALL. UNKNOWN LOSS AND TAKE AT THIS TIME.",
2/10/2019,22:32,SUSPICIOUS EVENT,SUSPICIOUS VEHICLE,SATHER TOWER,37.872075,-122.2578,N/A,
2/10/2019,23:22,PEDESTRIAN STOP,SUSPECT STOP,WURSTER HALL,37.870815,-122.254698,N/A,
2/10/2019,23:50,ALL OTHER OFFENSES,EXCLUSION FROM CAMPUS,UNIT-1 DEUTSCH,37.867616,-122.255708,"OCCD 02/10/19 2350 (MB-25-O) ISSUED A 7 DAY STAY AWAY FROM ALL UC PROPERTY, UNIT-1 DEUTSCH.",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
