Date,Time,Category,Incident Description,Location,Latitude,Longitude,Synopsis
2019-03-26,0:14,SUSPICIOUS EVENT,SUSPICIOUS PERSON,LOWER SPROUL GARAGE,37.868756,-122.26053,NA
2019-03-26,2:05,PEDESTRIAN STOP,SUSPECT STOP,JACKSON/GOODING,37.886244,-122.301003,NA
2019-03-26,3:04,PEDESTRIAN STOP,SUSPECT STOP,LOWER SPROUL PLAZA,37.86918,-122.260222,NA
2019-03-26,4:09,PEDESTRIAN STOP,SUSPECT STOP,LOWER SPROUL PLAZA,37.86918,-122.260222,NA
2019-03-26,8:28,LARCENY/THEFT,PETTY THEFT -REPORT,UNIVERSITY HALL,37.87216,-122.266441,"(FW-58-E) REPORTS THE THEFT OF HER WALLET, UNIVERSITY HALL. LOSS: $100."
2019-03-26,9:55,DISORDERLY CONDUCT,LODGING,FOOTHILL COMPLEX,37.875337,-122.256034,NA
2019-03-26,11:09,WELFARE CHECK,CHECK WELFARE- 911 CALL,UNIT-3 DINING,37.867203,-122.260338,NA
2019-03-26,12:43,SEX OFFENSES,INDECENT EXPOSURE,MLK,37.869249,-122.25967,NA
2019-03-26,12:46,SUSPICIOUS EVENT,SUSPICIOUS PACKAGE,UNIVERSITY HALL,37.87216,-122.266441,NA
2019-03-26,12:58,WELFARE CHECK,CHECK WELFARE- 911 CALL,ASUC GARAGE,37.86946,-122.259685,NA
2019-03-26,13:39,WELFARE CHECK,CHECK WELFARE- 911 CALL,CESAR CHAVEZ CENTER,37.869789,-122.260038,NA
2019-03-26,15:52,WELFARE CHECK,CHECK WELFARE- 911 CALL,ENERGY BIOSCIENCES INSTITUTE,37.874039,-122.266457,NA
2019-03-26,15:58,WELFARE CHECK,CHECK WELFARE- 911 CALL,UNIVERSITY HALL,37.87216,-122.266441,NA
2019-03-26,17:19,WELFARE CHECK,CHECK WELFARE- 911 CALL,ALUMNI HOUSE,37.866336,-122.257558,NA
2019-03-26,18:13,VANDALISM,MALICIOUS MISCHIEF -REPORT,DWINELLE HALL,37.870547,-122.260603,"VANDALISM VIA MULTICOLOR SPRAYPAINT, S/S DWINELLE AT FOOTBRIDGE, UNK TIME FRAME."
2019-03-26,20:14,TRAFFIC STOP,TRAFFIC STOP,BANCROFT/DANA,37.868553,-122.261796,NA
2019-03-26,20:50,PEDESTRIAN STOP,SUSPECT STOP,MLK,37.869249,-122.25967,NA
2019-03-26,21:04,TRAFFIC STOP,TRAFFIC STOP,HASTE/TELEGRAPH,37.866028,-122.258642,NA
2019-03-26,23:56,DISORDERLY CONDUCT,LODGING,ESHLEMAN HALL,37.868757,-122.260388,NA
